User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription,engagement,Purchase_Frequency_norm,Total_Spending_norm,engagement_norm,implicit_rating,AgeBucket,IncomeBucket,category_id
#1,56,Male,Suburban,38037.0,Sports,5,7,18,2546.0,Books,584.0,38,True,622.0,0.7777777777777777,0.4947935787471214,0.9745632024928061,0.6701134306854852,55-64,Low,1
#2,46,Female,Rural,103986.0,Technology,15,7,118,320.0,Electronics,432.0,40,False,472.0,0.7777777777777777,0.030470914127423816,0.7360932258628639,0.4373212339436271,45-54,High,2
#3,32,Female,Suburban,101942.0,Sports,28,1,146,3766.0,Apparel,306.0,1,True,307.0,0.1111111111111111,0.7492741047291659,0.4737762515699273,0.43455097228511735,25-34,High,0
#4,60,Female,Suburban,71612.0,Fashion,18,3,163,4377.0,Apparel,527.0,29,False,556.0,0.3333333333333333,0.8767229583152555,0.8696364127756315,0.6314889725194281,55-64,Medium,0
#5,25,Male,Suburban,49725.0,Travel,2,5,141,4502.0,Health & Beauty,53.0,10,True,63.0,0.5555555555555556,0.9027967826986617,0.08586508958522121,0.6648450611729199,18-24,Low,3
#6,38,Male,Suburban,25926.0,Travel,22,8,25,2669.0,Books,520.0,28,False,548.0,0.8888888888888888,0.5204502219403931,0.8569180140220346,0.7198944012753803,35-44,Low,1
#7,56,Male,Urban,124555.0,Fashion,11,7,152,1113.0,Home & Kitchen,330.0,31,True,361.0,0.7777777777777777,0.19588325601575277,0.5596254431567066,0.49411000952275935,55-64,High,4
#8,36,Male,Urban,29496.0,Technology,26,7,108,2151.0,Apparel,558.0,19,True,577.0,0.7777777777777777,0.4124002936955578,0.9030222095038235,0.6258823531133832,35-44,Low,0
#9,40,Male,Rural,76447.0,Travel,25,6,130,4085.0,Books,325.0,3,True,328.0,0.6666666666666666,0.8158145045556185,0.5071620482981193,0.7178327318798403,35-44,Medium,1
#10,28,Male,Urban,121604.0,Food,13,8,61,4968.0,Electronics,114.0,36,False,150.0,0.8888888888888888,0.9999999999999999,0.22417767603058772,0.8724177676030587,25-34,High,2
#11,28,Male,Urban,49806.0,Travel,4,1,78,4410.0,Health & Beauty,147.0,43,True,190.0,0.1111111111111111,0.8836064479524747,0.2877696697985723,0.47639986855847083,25-34,Low,3
#12,41,Male,Rural,108199.0,Food,22,2,14,3119.0,Electronics,166.0,15,False,181.0,0.2222222222222222,0.6143159897206555,0.2734614712007758,0.40378834249437257,35-44,High,2
#13,53,Female,Rural,61321.0,Fashion,7,9,29,3781.0,Apparel,379.0,33,True,412.0,1.0,0.7524029636551747,0.640705235210887,0.8526518571659173,45-54,Medium,0
#14,57,Female,Rural,142041.0,Fashion,29,7,88,1543.0,Apparel,139.0,41,True,180.0,0.7777777777777777,0.28557721189467006,0.2718716713565762,0.5056969124882591,55-64,High,0
#15,41,Male,Urban,122031.0,Travel,11,5,155,4296.0,Electronics,299.0,43,False,342.0,0.5555555555555556,0.8598271201148082,0.5294192461169139,0.6898641286633551,35-44,High,2
#16,20,Male,Urban,85095.0,Sports,22,9,120,3110.0,Apparel,276.0,45,True,321.0,1.0,0.6124386743650502,0.4960334493887219,0.7752007484031448,18-24,Medium,0
